st_abb,st_code,ym,tmin,tmax,tavg,ppt
AL,1,198101,-3.205,11.428,4.112,34.136
AR,5,198101,-3.541,10.039,3.249,27.502
AZ,4,198101,0.343,14.894,7.619,17.308
CA,6,198101,2.264,13.607,7.936,113.911
CO,8,198101,-9.283,7.325,-0.979,7.307
CT,9,198101,-13.591,-2.36,-7.975,16.676
DE,10,198101,-7.181,1.776,-2.702,13.554
FL,12,198101,1.557,17.388,9.472,21.877
GA,13,198101,-2.851,11.935,4.542,29.077
IA,19,198101,-11.779,1.215,-5.282,1.171
ID,16,198101,-6.537,3.166,-1.686,32.223
IL,17,198101,-9.286,1.358,-3.964,7.179
IN,18,198101,-10.117,0.116,-5,10.373
KS,20,198101,-7.334,8.198,0.432,4.52
KY,21,198101,-7.597,3.687,-1.955,22.122
LA,22,198101,0.409,13.916,7.163,43.451
MA,25,198101,-14.97,-3.224,-9.097,22.914
MD,24,198101,-7.514,1.778,-2.868,12.989
ME,23,198101,-20.667,-7.82,-14.243,37.399
MI,26,198101,-14.135,-3.865,-9,21.499
MN,27,198101,-17.124,-4.056,-10.59,3.569
MO,29,198101,-7.674,5.59,-1.042,11.068
MS,28,198101,-2.284,11.738,4.727,38.466
MT,30,198101,-7.462,4.427,-1.518,10.968
NC,37,198101,-5.496,7.655,1.079,25.786
ND,38,198101,-14.657,-2.438,-8.548,7.063
NE,31,198101,-9.22,6.584,-1.318,2.346
NH,33,198101,-18.751,-6.047,-12.399,16.938
NJ,34,198101,-10.547,0.095,-5.226,13.484
NM,35,198101,-5.001,10.998,2.999,10.031
NV,32,198101,-4.728,8.589,1.93,19.843
NY,36,198101,-16.729,-5.202,-10.965,22.856
OH,39,198101,-10.641,-1.374,-6.007,16.103
OK,40,198101,-3.94,11.047,3.554,5.606
OR,41,198101,-1.869,5.932,2.031,53.982
PA,42,198101,-12.191,-2.26,-7.226,17.96
RI,44,198101,-13.181,-1.776,-7.478,20.109
SC,45,198101,-3.82,11.089,3.634,20.174
SD,46,198101,-10.639,2.952,-3.843,1.787
TN,47,198101,-6.185,6.308,0.062,40.588
TX,48,198101,0.736,14.607,7.671,28.838
UT,49,198101,-6.066,6.288,0.111,14.501
VA,51,198101,-7.348,4.136,-1.606,14.867
VT,50,198101,-20.868,-7.456,-14.162,17.336
WA,53,198101,-0.54,5.381,2.421,51.582
WI,55,198101,-15.622,-3.381,-9.502,2.695
WV,54,198101,-9.718,0.783,-4.468,25.925
WY,56,198101,-9.118,5.048,-2.035,10.522
AL,1,198102,1.033,14.967,8,169.485
AR,5,198102,-0.703,12.774,6.035,82.508
AZ,4,198102,0.007,16.371,8.189,19.04
CA,6,198102,1.998,14.757,8.377,56.748
CO,8,198102,-9.929,6.915,-1.507,16.032
CT,9,198102,-5.365,6.261,0.448,208.832
DE,10,198102,-2.14,9.081,3.47,90.559
FL,12,198102,8.033,21.628,14.831,115.26
GA,13,198102,1.855,15.948,8.902,145.82
IA,19,198102,-9.264,3.079,-3.092,37.826
ID,16,198102,-8.052,3.582,-2.235,63.139
IL,17,198102,-6.901,4.748,-1.076,57.651
IN,18,198102,-6.622,4.639,-0.992,64.707
KS,20,198102,-6.412,10.196,1.892,7.387
KY,21,198102,-5.069,9.026,1.979,103.452
LA,22,198102,3.893,16.302,10.098,121.751
MA,25,198102,-6.098,5.434,-0.332,198.154
MD,24,198102,-3.107,8.586,2.739,102.292
ME,23,198102,-8.687,2.41,-3.139,97.58
MI,26,198102,-9.294,-0.097,-4.695,56.779
