state,st_abb,date,tmin,tmax,tavg,ppt,coal,natural gas,petroleum coke,petroleum liquids
Alabama,AL,2001-01-01,29.1524,51.8234,40.487,119.501,3076.0,210.654,0.0,46.24
Arkansas,AR,2001-01-01,26.6612,45.7412,36.2012,88.598,1320.0,77.895,0.0,30.192000000000004
Arizona,AZ,2001-01-01,28.272199999999998,51.9206,40.0964,41.955,1773.0,194.994,0.0,36.448
California,CA,2001-01-01,31.7372,52.7198,42.2276,87.828,154.0,2879.145,94.0,85.0
Colorado,CO,2001-01-01,11.274800000000003,37.4252,24.35,25.485,1777.0,176.526,0.0,7.072000000000001
Connecticut,CT,2001-01-01,15.776599999999998,34.7,25.2392,60.59,138.0,38.421,0.0,207.4
Delaware,DE,2001-01-01,24.7676,40.9136,32.8406,76.353,210.0,2.106,2.0,46.24
Florida,FL,2001-01-01,38.705,65.1776,51.9404,28.75,2773.0,507.465,67.0,977.84
Georgia,GA,2001-01-01,30.1208,54.8492,42.485,71.104,3077.0,47.493,23.0,77.248
Iowa,IA,2001-01-01,11.782400000000003,28.688,20.2352,37.457,2158.0,27.81,1.0,1.9040000000000001
Idaho,ID,2001-01-01,13.577000000000002,31.7444,22.6616,31.676,7.0,14.634,0.0,0.272
Illinois,IL,2001-01-01,16.9934,32.9342,24.9638,43.177,4526.0,54.702,1.0,4.760000000000001
Indiana,IN,2001-01-01,18.7862,34.2662,26.5262,25.475,5208.0,82.917,4.0,13.464
Kansas,KS,2001-01-01,18.7556,41.442800000000005,30.0992,32.944,1957.0,25.056,0.0,25.840000000000003
Kentucky,KY,2001-01-01,22.0766,40.559,31.3178,52.111,3574.0,6.669,0.0,2.584
Louisiana,LA,2001-01-01,35.0942,54.6044,44.8502,143.055,1466.0,987.471,68.0,139.94400000000002
Massachusetts,MA,2001-01-01,14.511200000000002,33.494,24.0026,55.93,439.0,157.84199999999998,0.0,308.584
Maryland,MD,2001-01-01,23.4086,40.074799999999996,31.7408,71.851,1083.0,15.876,0.0,94.248
Maine,ME,2001-01-01,1.3639999999999972,24.4238,12.894799999999996,31.682,37.0,127.386,0.0,134.776
Michigan,MI,2001-01-01,16.1492,30.3044,23.2268,33.845,3169.0,265.302,0.0,21.352
Minnesota,MN,2001-01-01,5.952199999999998,24.458,15.206,21.178,1808.0,37.908,21.0,6.800000000000001
Missouri,MO,2001-01-01,19.1714,37.8464,28.508,50.96,3650.0,13.5,11.0,10.200000000000001
Mississippi,MS,2001-01-01,29.9534,50.5994,40.276399999999995,150.035,721.0,136.512,0.0,172.17600000000002
Montana,MT,2001-01-01,15.107,34.5794,24.8432,11.205,987.0,6.156,25.0,0.0
North Carolina,NC,2001-01-01,27.663800000000002,50.0306,38.8472,51.026,2678.0,6.8309999999999995,0.0,50.32
North Dakota,ND,2001-01-01,7.023199999999999,25.736,16.3796,5.006,2238.0,0.216,0.0,2.8560000000000003
Nebraska,NE,2001-01-01,15.637999999999998,38.2136,26.925800000000002,24.479,1166.0,2.295,0.0,0.9520000000000001
New Hampshire,NH,2001-01-01,7.408399999999997,28.7168,18.0626,37.823,158.0,8.721,0.0,3.4000000000000004
New Jersey,NJ,2001-01-01,20.546599999999998,38.2118,29.3792,77.253,529.0,240.111,0.0,82.688
New Mexico,NM,2001-01-01,19.351399999999998,44.4974,31.9244,28.1,1478.0,87.966,0.0,3.672
Nevada,NV,2001-01-01,17.6612,41.0882,29.3756,27.196,658.0,285.741,0.0,32.504000000000005
New York,NY,2001-01-01,13.982,29.9606,21.970399999999998,39.585,1043.0,466.452,0.0,671.5680000000001
Ohio,OH,2001-01-01,19.070600000000002,34.3472,26.708,32.399,5019.0,34.803,0.0,16.184
Oklahoma,OK,2001-01-01,24.5102,45.163399999999996,34.8368,56.459,1913.0,287.253,0.0,34.544000000000004
Oregon,OR,2001-01-01,23.6948,40.370000000000005,32.0324,47.087,232.0,187.326,0.0,18.224
Pennsylvania,PA,2001-01-01,17.996000000000002,33.1664,25.5812,49.268,4825.0,43.605,10.0,146.744
Rhode Island,RI,2001-01-01,18.8942,35.6756,27.284,71.038,0.0,92.691,0.0,10.88
South Carolina,SC,2001-01-01,30.2198,54.4748,42.3482,50.324,1439.0,10.341,0.0,23.12
South Dakota,SD,2001-01-01,12.074000000000002,32.3798,22.2278,21.122,197.0,2.889,0.0,6.664000000000001
Tennessee,TN,2001-01-01,23.7902,43.4084,33.6002,93.169,2614.0,15.012,0.0,63.24
Texas,TX,2001-01-01,32.5508,53.7674,43.16,58.369,8003.0,3969.54,52.0,351.42400000000004
Utah,UT,2001-01-01,15.9332,37.1822,26.5586,27.371,1236.0,44.847,0.0,0.9520000000000001
Virginia,VA,2001-01-01,23.2196,44.504599999999996,33.863,58.126,1555.0,63.18,0.0,148.92000000000002
Vermont,VT,2001-01-01,7.4786,27.1184,17.2994,37.73,0.0,0.837,0.0,5.304
